2026-05-24 00:16:04,133 | INFO | validation | Running drift analysis
2026-05-24 00:16:07,897 | INFO | validation | Running bias analysis
2026-05-24 00:16:07,897 | INFO | validation | Generating risk distribution
2026-05-24 00:16:07,900 | INFO | validation | Analyzing top risk segments
2026-05-24 00:16:07,900 | INFO | validation | Validation completed
2026-05-24 00:16:07,900 | INFO | main | Initializing RAG pipeline...
2026-05-24 00:16:07,928 | INFO | rag_pipeline | Creating new vector database
2026-05-24 00:16:07,928 | INFO | rag_pipeline | Building vector database
2026-05-24 00:16:07,928 | INFO | rag_pipeline | Loading regulatory PDFs
2026-05-24 00:16:08,993 | INFO | rag_pipeline | Loaded 231 document pages
2026-05-24 00:16:08,993 | INFO | rag_pipeline | Chunking documents
2026-05-24 00:16:08,999 | INFO | rag_pipeline | Generated 656 chunks
2026-05-24 00:21:57,085 | INFO | risk_model | Loading model
2026-05-24 00:25:08,231 | INFO | risk_model | Loading model
2026-05-24 00:25:30,763 | INFO | risk_model | Loading model
2026-05-24 00:25:58,011 | INFO | main | Loading dataset...
2026-05-24 00:25:58,011 | INFO | main | Starting preprocessing...
2026-05-24 00:25:58,011 | INFO | preprocessing | Starting preprocessing pipeline
2026-05-24 00:25:58,011 | INFO | preprocessing | Loading raw dataset
2026-05-24 00:28:04,217 | INFO | preprocessing | Dataset Shape: (2260701, 151)
2026-05-24 00:28:10,146 | INFO | preprocessing | Removed 0 duplicate rows
2026-05-24 00:28:10,802 | INFO | preprocessing | Removed 15 leakage columns
2026-05-24 00:28:10,943 | INFO | preprocessing | Creating default target
2026-05-24 00:28:11,206 | INFO | preprocessing | Processing date columns
2026-05-24 00:28:11,422 | INFO | preprocessing | Processing employment length
2026-05-24 00:28:11,724 | INFO | preprocessing | Processing percentage columns
2026-05-24 00:28:13,235 | INFO | preprocessing | Creating risk features
2026-05-24 00:28:13,261 | INFO | preprocessing | Dropping high null columns
2026-05-24 00:28:14,430 | INFO | preprocessing | Dropped 38 high-null columns
2026-05-24 00:28:14,561 | INFO | preprocessing | Handling missing values
2026-05-24 00:28:18,590 | INFO | preprocessing | Encoding categorical columns
2026-05-24 00:28:27,040 | INFO | preprocessing | Selecting final features
2026-05-24 00:28:27,149 | INFO | preprocessing | Optimizing memory
2026-05-24 00:28:27,414 | INFO | preprocessing | Preprocessing completed
2026-05-24 00:28:27,414 | INFO | preprocessing | Final Shape: (2260701, 23)
2026-05-24 00:28:27,414 | INFO | main | Training PD model...
2026-05-24 00:28:27,414 | INFO | risk_model | Preparing train/test datasets
2026-05-24 00:28:27,868 | INFO | risk_model | Training XGBoost model
2026-05-24 00:28:35,728 | INFO | risk_model | Training completed
2026-05-24 00:28:35,728 | INFO | risk_model | Evaluating model
2026-05-24 00:28:36,466 | INFO | risk_model | Metrics: {'auc': 0.7509056480211055, 'accuracy': 0.8699587075713108, 'precision': 0.5480984340044742, 'recall': 0.0083215868756687, 'f1_score': 0.016394265352894927}
2026-05-24 00:28:36,467 | INFO | main | Model Metrics: {'auc': 0.7509056480211055, 'accuracy': 0.8699587075713108, 'precision': 0.5480984340044742, 'recall': 0.0083215868756687, 'f1_score': 0.016394265352894927}
2026-05-24 00:28:37,682 | INFO | main | Running ECL engine...
2026-05-24 00:28:37,682 | INFO | ecl_engine | Running IFRS9 engine
